reviewerID,reviewText,overall,asin,helpful,reviewerName,unixReviewTime,summary,reviewTime
A3LYC4BXRDE5RZ,buy product again again stick detal microfib towel vike cobra,2.0,B00008RW9U,"[3, 10]",Chi Car Guy,1248134400,Does what it is supposed to,"07 21, 2009"
A3FP9141P7DHT6,bought spare tire util trailer veri inexpens cheap flimsi loos fit seem broken easili probabl end up get cabl lock devic doesn realli give sens secur suppos five buck pay,2.0,B0000AXPDU,"[0, 0]",Amazon Customer,1369872000,You get what you pay for.,"05 30, 2013"
A204K1OFE8OB9Y,size measur provid bit disingenu funnel 10 long section compris tubular section 6 long state funnel 4 x 4 realiti open funnel 2 1 4 diamet widest point work put quart contain liquid someth larger contain go worthless,1.0,B0000AXRH5,"[4, 7]",Winter,1323129600,too small and too short to add any benefit,"12 6, 2011"
A1HI4VM5Q4LUET,use curt receiv length perfect appear high qualiti construct bit weight design prevent rattl bumpi road complaint get rust buildup insid lock mechan few month need clean period updat great deal dirt found way lock mechan guess fit secur now rust find bit odd stainless construct see head design chang base new pictur here mayb issu fix now,2.0,B0000AXY62,"[0, 0]",Bongo,1272585600,Didn't hold up very well.,"04 30, 2010"
A1P3RTQKM8BRBL,car rv detail guy car rv shine new time thought found best shine wax protect use rv wax call protect uv inhibitor prior tri flagship wax use year job noth market thought go top fiberglass use mcguir fiberglass restor amaz remov oxid older rv restor back new knew good tri ad revis review end origin review page well appli flagship wax alreadi clean shini rv took shine whole higher level 1st go easi onc stay kind moist drys soft come nice follow 2nd dri cloth make sure complet shini come easi clean finish up leav nice shini glaze surfac need chang up rag cake smear dont read review amazon entic give tri one dont dri longer 3 min bottl claim same veri true pleas result biggest improv nice gold paint bottom motorhom paint look good befor now paint look glaze shini rich never high shine befor cling plastic window rubber everyth touch come leav high shine use everyth now revis review august 2013 use like 1st found continu bead water streak seem stick stay wax surfac fiberglass even wash wont remov easi went back use protect rv shine well water streak minim rain wash easier find protect brand wax last long come cleaner appli wax leav cleaner shine make far easier big rv less time flagship wax found flagship caki thick harder remov have constant fresh rag make easi tri like first week later found flagship good use year protect brand love mcguir product time,2.0,B0000AY60S,"[14, 16]",Ed D,1369872000,This wax takes detailing to a higher level AT 1ST but quickly fades in time,"05 30, 2013"
A1P3RTQKM8BRBL,use though hollow plastic felt design hold camper roll one day forgot remov pull out seem take veri littl pressur move forward flatten pan cake though 50 000 invest better serv heavi duti galvan wheel chock wont give even move over mistak know hold solid again roll forward over,2.0,B0000AY9W6,"[0, 0]",Ed D,1396224000,It went flat as a pan cake.,"03 31, 2014"
AUZINV544Y1ZC,fair veri durabl fulli secur trailer spend extra x block fastaway now use both fastway intiial set x block final lock,2.0,B0000AY9W6,"[0, 0]",RDR,1375056000,Chock Blocks,"07 29, 2013"
A2FKXF5PIY4XNT,34 feet 34 bar slide truck bed side make worthless ratchet extend mechan end up out arm reach stand outsid truck,2.0,B0000AZ9KS,"[0, 0]",Dale L. Clark,1402185600,bad design,"06 8, 2014"
A1LAGS8H4A2DR7,bit down here review thought mayb search perfect nozzl come end didn sequenc spray pattern nozzl use sure uniqu abil produc fine spray fire hose kind effect switch between pattern pass most through various stream concentr water dench anyth way tri splatter mud creat crater wash away fesh plant seed nozzl mayb make more sens car,2.0,B0001L0DFA,"[5, 5]",Bill Nicholas,1284595200,Ok if you like to drench,"09 16, 2010"
A1F9Z42CFF9IAY,better go local depart store buy craftsman brand nozzl instead ident one except green part silver come lifetim replac guarante unlik bon air one same price prefer trigger type nozzl turn rotat sever revolut doesn rememb spray set type nozzl good re hold long period time water garden someth wash car turn water period doesn work well trigger type hose nozzl,2.0,B0001L0DFA,"[0, 0]",T. Tom,1383264000,"Buy a Craftsman instead, it's the same with better warranty","11 1, 2013"
A15YJ2DV1S9ZP2,look product simpli calcul actual cost per squar foot exampl speaker kit contain 1 38 squar feet around 22 buck price fluxuat stock someth u think anyth that worth 15 dollar squar foot mani cheaper altern dynamat awsom product work those made money search butyl flash tape u glad u,2.0,B00020CATC,"[5, 8]",jdep,1313884800,APPLY COMMON SENSE,"08 21, 2011"
A1EMY19Z7WUDGC,return much work instal find hard believ make much differ,1.0,B00020CAUG,"[0, 2]",Sandan,1400198400,Not for Me,"05 16, 2014"
A3F3K0YC4VV0Q7,make notic enough differ sound qualiti justifi cost instal insid door use roller lot elbow greas part dynamat instal good contact metal return stuck car door,1.0,B00020CB2S,"[1, 1]",carguy,1401580800,Not Worth It,"06 1, 2014"
ANW6EGY12V5XS,d better trust jack stand intent get under car thought good option chang mind receiv whatev reason justifi felt uneasi see much rattl decid take car mechan end up never use forgot return late two star inspir confid,2.0,B00026Z3DQ,"[1, 3]",Henri Savin,1395187200,Never used... Feel a bit flimsy,"03 19, 2014"
A1R4R7Y8M8THQ8,first time use out box one stand neck broken decid brand one avoid friend know,1.0,B00026Z3DQ,"[7, 7]",reverseC,1358467200,I returned it because,"01 18, 2013"
