PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Sex_num,Embarked_num,Deck_num
1,0,3,male,22,1,0,7.25,S,C,0,0,0
2,1,1,female,38,1,0,71.2833,C,C,1,1,0
3,1,3,female,26,0,0,7.925,S,C,1,0,0
4,1,1,female,35,1,0,53.1,S,C,1,0,0
5,0,3,male,35,0,0,8.05,S,C,0,0,0
6,0,3,male,30,0,0,8.4583,Q,C,0,2,0
7,0,1,male,54,0,0,51.8625,S,E,0,0,1
8,0,3,male,2,3,1,21.075,S,C,0,0,0
9,1,3,female,27,0,2,11.1333,S,C,1,0,0
10,1,2,female,14,1,0,30.0708,C,C,1,1,0
11,1,3,female,4,1,1,16.7,S,G,1,0,2
12,1,1,female,58,0,0,26.55,S,C,1,0,0
13,0,3,male,20,0,0,8.05,S,C,0,0,0
14,0,3,male,39,1,5,31.275,S,C,0,0,0
15,0,3,female,14,0,0,7.8542,S,C,1,0,0
16,1,2,female,55,0,0,16.0,S,C,1,0,0
17,0,3,male,2,4,1,29.125,Q,C,0,2,0
18,1,2,male,30,0,0,13.0,S,C,0,0,0
19,0,3,female,31,1,0,18.0,S,C,1,0,0
20,1,3,female,30,0,0,7.225,C,C,1,1,0
21,0,2,male,35,0,0,26.0,S,C,0,0,0
22,1,2,male,34,0,0,13.0,S,D,0,0,3
23,1,3,female,15,0,0,8.0292,Q,C,1,2,0
24,1,1,male,28,0,0,35.5,S,A,0,0,4
25,0,3,female,8,3,1,21.075,S,C,1,0,0
26,1,3,female,38,1,5,31.3875,S,C,1,0,0
27,0,3,male,30,0,0,7.225,C,C,0,1,0
28,0,1,male,19,3,2,263.0,S,C,0,0,0
29,1,3,female,30,0,0,7.8792,Q,C,1,2,0
30,0,3,male,30,0,0,7.8958,S,C,0,0,0
31,0,1,male,40,0,0,27.7208,C,C,0,1,0
32,1,1,female,30,1,0,146.5208,C,B,1,1,5
33,1,3,female,30,0,0,7.75,Q,C,1,2,0
34,0,2,male,66,0,0,10.5,S,C,0,0,0
35,0,1,male,28,1,0,82.1708,C,C,0,1,0
36,0,1,male,42,1,0,52.0,S,C,0,0,0
37,1,3,male,30,0,0,7.2292,C,C,0,1,0
38,0,3,male,21,0,0,8.05,S,C,0,0,0
39,0,3,female,18,2,0,18.0,S,C,1,0,0
40,1,3,female,14,1,0,11.2417,C,C,1,1,0
41,0,3,female,40,1,0,9.475,S,C,1,0,0
42,0,2,female,27,1,0,21.0,S,C,1,0,0
43,0,3,male,30,0,0,7.8958,C,C,0,1,0
44,1,2,female,3,1,2,41.5792,C,C,1,1,0
45,1,3,female,19,0,0,7.8792,Q,C,1,2,0
46,0,3,male,30,0,0,8.05,S,C,0,0,0
47,0,3,male,30,1,0,15.5,Q,C,0,2,0
48,1,3,female,30,0,0,7.75,Q,C,1,2,0
49,0,3,male,30,2,0,21.6792,C,C,0,1,0
50,0,3,female,18,1,0,17.8,S,C,1,0,0
51,0,3,male,7,4,1,39.6875,S,C,0,0,0
52,0,3,male,21,0,0,7.8,S,C,0,0,0
53,1,1,female,49,1,0,76.7292,C,D,1,1,3
54,1,2,female,29,1,0,26.0,S,C,1,0,0
55,0,1,male,65,0,1,61.9792,C,B,0,1,5
56,1,1,male,30,0,0,35.5,S,C,0,0,0
57,1,2,female,21,0,0,10.5,S,C,1,0,0
58,0,3,male,28,0,0,7.2292,C,C,0,1,0
59,1,2,female,5,1,2,27.75,S,C,1,0,0
60,0,3,male,11,5,2,46.9,S,C,0,0,0
61,0,3,male,22,0,0,7.2292,C,C,0,1,0
62,1,1,female,38,0,0,80.0,S,B,1,0,5
63,0,1,male,45,1,0,83.475,S,C,0,0,0
64,0,3,male,4,3,2,27.9,S,C,0,0,0
65,0,1,male,30,0,0,27.7208,C,C,0,1,0
66,1,3,male,30,1,1,15.2458,C,C,0,1,0
67,1,2,female,29,0,0,10.5,S,F,1,0,6
68,0,3,male,19,0,0,8.1583,S,C,0,0,0
69,1,3,female,17,4,2,7.925,S,C,1,0,0
70,0,3,male,26,2,0,8.6625,S,C,0,0,0
71,0,2,male,32,0,0,10.5,S,C,0,0,0
72,0,3,female,16,5,2,46.9,S,C,1,0,0
73,0,2,male,21,0,0,73.5,S,C,0,0,0
74,0,3,male,26,1,0,14.4542,C,C,0,1,0
75,1,3,male,32,0,0,56.4958,S,C,0,0,0
76,0,3,male,25,0,0,7.65,S,G,0,0,2
77,0,3,male,30,0,0,7.8958,S,C,0,0,0
78,0,3,male,30,0,0,8.05,S,C,0,0,0
79,1,2,male,1,0,2,29.0,S,C,0,0,0
80,1,3,female,30,0,0,12.475,S,C,1,0,0
81,0,3,male,22,0,0,9.0,S,C,0,0,0
82,1,3,male,29,0,0,9.5,S,C,0,0,0
83,1,3,female,30,0,0,7.7875,Q,C,1,2,0
84,0,1,male,28,0,0,47.1,S,C,0,0,0
85,1,2,female,17,0,0,10.5,S,C,1,0,0
86,1,3,female,33,3,0,15.85,S,C,1,0,0
87,0,3,male,16,1,3,34.375,S,C,0,0,0
88,0,3,male,30,0,0,8.05,S,C,0,0,0
89,1,1,female,23,3,2,263.0,S,C,1,0,0
