reviewText,helpful,overall,reviewerID,unixReviewTime,asin,reviewerName,reviewTime,summary
this product serv it purpos i use it for haul cano to and from our cabe if i would have had time i could have made this myself for about 30 it is veri sloppi if you don secur it with ratchet strap on each side back to the truck work good though if onli go short distanc and moder speed,"[0, 0]",3.0,A1KKOA3FP2DMBW,1384473600,B00008BKX5,Brian LaFrance,"11 15, 2013",Does what I expected it to do.
this product doe what it is suppos to do but i am not real happi with the qualiti of construct,"[3, 3]",3.0,A2FJKITDY5UUHJ,1241654400,B00008RW9U,Charles M. Cline,"05 7, 2009",average
i would not buy this product again it doe what it should but if i had to do it again i would just stick with detal microfib towel from vike cobra,"[3, 10]",2.0,A3LYC4BXRDE5RZ,1248134400,B00008RW9U,Chi Car Guy,"07 21, 2009",Does what it is supposed to
mayb i don understand the finer point of keep your car clean but it seem to me that whatev instrument one use to dust their car should not leav behind more lint and strand of fabric than it pick up,"[0, 0]",3.0,A1QF996642YT9L,1404086400,B00008RW9U,Neil Allan,"06 30, 2014","cheaply made, picks up some dust but leaves behind even more red fibers"
bought this for my 2013 evo x gsr it left red lint all over my dash if use in the hous i m sure it s fine as you won notic but this brush doe leav red fiber behind,"[0, 0]",3.0,A2YDD9A0U77LYS,1359849600,B00008RW9V,mile d murzi,"02 3, 2013",Leaves red lint. Good otherwise
this air deflector make the air go to the side that s all it doe 1 there are 2 piec and no print instruct just the box where you can see how to assembl 2 the 2 piec fit togeth by groov slide and you can adjust by pull push to get it to fit on vent 3 magnet to hold this on vent the magnet aren strong but bare strong enough to hold on the ceil there s noth good to look at with this deflector it kind of disappear sinc it s transpar plastic if this will fit your vent just get one see how you like it and you can order more later,"[0, 0]",3.0,A3NHUQ33CFH3VM,1368662400,B00009W3G7,Citizen John,"05 16, 2013",Simple and somewhat effective
this lock will onli suffic to keep honest peopl honest it is far too easi to just cut the cabl it is howev good deterr i still would recommend it just for it s deterr aspect,"[0, 0]",3.0,A1CMD08Z49PGKQ,1351382400,B0000ATZD5,"okiedan ""Pro Bono Publico""","10 28, 2012",Just OK
bought this for my spare tire on my util trailer veri inexpens cheap flimsi and loos fit seem like it can be broken off easili will probabl end up get cabl lock this devic doesn realli give me sens of secur i suppos for onli five buck you get what you pay for,"[0, 0]",2.0,A3FP9141P7DHT6,1369872000,B0000AXPDU,Amazon Customer,"05 30, 2013",You get what you pay for.
this inexpens funnel is pretti handi for certain job i use mine for fuel addit such as seafoam which is good product but the contain is difficult to pour into most car truck fuel tank nice littl funnel for the price,"[0, 0]",3.0,A2N7X2Q5JX7XRM,1397174400,B0000AXRH5,Dublin Bob,"04 11, 2014",Not expensive a and works
the size measur provid are bit disingenu the funnel is 10 long but the section that compris the tubular section is onli 6 long it state that the funnel is 4 x 4 but in realiti the open for the funnel is 2 1 4 in diamet at the widest point it would work to put quart contain of liquid into someth but for ani larger contain it is go to be worthless,"[4, 7]",1.0,A204K1OFE8OB9Y,1323129600,B0000AXRH5,Winter,"12 6, 2011",too small and too short to add any benefit
