PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Desk
1,0,3,0,22.0,1,0,7.25,1,2
2,1,1,3,38.0,1,0,71.2833,2,2
3,1,3,3,26.0,0,0,7.925,1,2
4,1,1,3,35.0,1,0,53.1,1,2
5,0,3,0,35.0,0,0,8.05,1,2
6,0,3,0,30.0,0,0,8.4583,4,2
7,0,1,0,54.0,0,0,51.8625,1,5
8,0,3,0,2.0,3,1,21.075,1,2
9,1,3,3,27.0,0,2,11.1333,1,2
10,1,2,3,14.0,1,0,30.0708,2,2
11,1,3,3,4.0,1,1,16.7,1,6
12,1,1,3,58.0,0,0,26.55,1,2
13,0,3,0,20.0,0,0,8.05,1,2
14,0,3,0,39.0,1,5,31.275,1,2
15,0,3,3,14.0,0,0,7.8542,1,2
16,1,2,3,55.0,0,0,16.0,1,2
17,0,3,0,2.0,4,1,29.125,4,2
18,1,2,0,30.0,0,0,13.0,1,2
19,0,3,3,31.0,1,0,18.0,1,2
20,1,3,3,30.0,0,0,7.225,2,2
21,0,2,0,35.0,0,0,26.0,1,2
22,1,2,0,34.0,0,0,13.0,1,7
23,1,3,3,15.0,0,0,8.0292,4,2
24,1,1,0,28.0,0,0,35.5,1,8
25,0,3,3,8.0,3,1,21.075,1,2
26,1,3,3,38.0,1,5,31.3875,1,2
27,0,3,0,30.0,0,0,7.225,2,2
28,0,1,0,19.0,3,2,263.0,1,2
29,1,3,3,30.0,0,0,7.8792,4,2
30,0,3,0,30.0,0,0,7.8958,1,2
31,0,1,0,40.0,0,0,27.7208,2,2
32,1,1,3,30.0,1,0,146.5208,2,9
33,1,3,3,30.0,0,0,7.75,4,2
34,0,2,0,66.0,0,0,10.5,1,2
35,0,1,0,28.0,1,0,82.1708,2,2
36,0,1,0,42.0,1,0,52.0,1,2
37,1,3,0,30.0,0,0,7.2292,2,2
38,0,3,0,21.0,0,0,8.05,1,2
39,0,3,3,18.0,2,0,18.0,1,2
40,1,3,3,14.0,1,0,11.2417,2,2
41,0,3,3,40.0,1,0,9.475,1,2
42,0,2,3,27.0,1,0,21.0,1,2
43,0,3,0,30.0,0,0,7.8958,2,2
44,1,2,3,3.0,1,2,41.5792,2,2
45,1,3,3,19.0,0,0,7.8792,4,2
46,0,3,0,30.0,0,0,8.05,1,2
47,0,3,0,30.0,1,0,15.5,4,2
48,1,3,3,30.0,0,0,7.75,4,2
49,0,3,0,30.0,2,0,21.6792,2,2
50,0,3,3,18.0,1,0,17.8,1,2
51,0,3,0,7.0,4,1,39.6875,1,2
52,0,3,0,21.0,0,0,7.8,1,2
53,1,1,3,49.0,1,0,76.7292,2,7
54,1,2,3,29.0,1,0,26.0,1,2
55,0,1,0,65.0,0,1,61.9792,2,9
56,1,1,0,30.0,0,0,35.5,1,2
57,1,2,3,21.0,0,0,10.5,1,2
58,0,3,0,28.0,0,0,7.2292,2,2
59,1,2,3,5.0,1,2,27.75,1,2
60,0,3,0,11.0,5,2,46.9,1,2
61,0,3,0,22.0,0,0,7.2292,2,2
62,1,1,3,38.0,0,0,80.0,1,9
63,0,1,0,45.0,1,0,83.475,1,2
64,0,3,0,4.0,3,2,27.9,1,2
65,0,1,0,30.0,0,0,27.7208,2,2
66,1,3,0,30.0,1,1,15.2458,2,2
67,1,2,3,29.0,0,0,10.5,1,10
68,0,3,0,19.0,0,0,8.1583,1,2
69,1,3,3,17.0,4,2,7.925,1,2
70,0,3,0,26.0,2,0,8.6625,1,2
71,0,2,0,32.0,0,0,10.5,1,2
72,0,3,3,16.0,5,2,46.9,1,2
73,0,2,0,21.0,0,0,73.5,1,2
74,0,3,0,26.0,1,0,14.4542,2,2
75,1,3,0,32.0,0,0,56.4958,1,2
76,0,3,0,25.0,0,0,7.65,1,6
77,0,3,0,30.0,0,0,7.8958,1,2
78,0,3,0,30.0,0,0,8.05,1,2
79,1,2,0,1.0,0,2,29.0,1,2
80,1,3,3,30.0,0,0,12.475,1,2
81,0,3,0,22.0,0,0,9.0,1,2
82,1,3,0,29.0,0,0,9.5,1,2
83,1,3,3,30.0,0,0,7.7875,4,2
84,0,1,0,28.0,0,0,47.1,1,2
85,1,2,3,17.0,0,0,10.5,1,2
86,1,3,3,33.0,3,0,15.85,1,2
87,0,3,0,16.0,1,3,34.375,1,2
88,0,3,0,30.0,0,0,8.05,1,2
89,1,1,3,23.0,3,2,263.0,1,2
90,0,3,0,24.0,0,0,8.05,1,2
91,0,3,0,29.0,0,0,8.05,1,2
92,0,3,0,20.0,0,0,7.8542,1,2
93,0,1,0,46.0,1,0,61.175,1,5
94,0,3,0,26.0,1,2,20.575,1,2
95,0,3,0,59.0,0,0,7.25,1,2
96,0,3,0,30.0,0,0,8.05,1,2
97,0,1,0,71.0,0,0,34.6542,2,8
98,1,1,0,23.0,0,1,63.3583,2,7
99,1,2,3,34.0,0,1,23.0,1,2
100,0,2,0,34.0,1,0,26.0,1,2
101,0,3,3,28.0,0,0,7.8958,1,2
102,0,3,0,30.0,0,0,7.8958,1,2
103,0,1,0,21.0,0,1,77.2875,1,7
104,0,3,0,33.0,0,0,8.6542,1,2
105,0,3,0,37.0,2,0,7.925,1,2
106,0,3,0,28.0,0,0,7.8958,1,2
107,1,3,3,21.0,0,0,7.65,1,2
108,1,3,0,30.0,0,0,7.775,1,2
109,0,3,0,38.0,0,0,7.8958,1,2
110,1,3,3,30.0,1,0,24.15,4,2
111,0,1,0,47.0,0,0,52.0,1,2
112,0,3,3,14.0,1,0,14.4542,2,2
113,0,3,0,22.0,0,0,8.05,1,2
114,0,3,3,20.0,1,0,9.825,1,2
115,0,3,3,17.0,0,0,14.4583,2,2
116,0,3,0,21.0,0,0,7.925,1,2
117,0,3,0,70.0,0,0,7.75,4,2
118,0,2,0,29.0,1,0,21.0,1,2
119,0,1,0,24.0,0,1,247.5208,2,9
120,0,3,3,2.0,4,2,31.275,1,2
121,0,2,0,21.0,2,0,73.5,1,2
122,0,3,0,30.0,0,0,8.05,1,2
123,0,2,0,32.0,1,0,30.0708,2,2
124,1,2,3,32.0,0,0,13.0,1,5
125,0,1,0,54.0,0,1,77.2875,1,7
126,1,3,0,12.0,1,0,11.2417,2,2
127,0,3,0,30.0,0,0,7.75,4,2
128,1,3,0,24.0,0,0,7.1417,1,2
129,1,3,3,30.0,1,1,22.3583,2,5
130,0,3,0,45.0,0,0,6.975,1,2
131,0,3,0,33.0,0,0,7.8958,2,2
132,0,3,0,20.0,0,0,7.05,1,2
133,0,3,3,47.0,1,0,14.5,1,2
134,1,2,3,29.0,1,0,26.0,1,2
135,0,2,0,25.0,0,0,13.0,1,2
136,0,2,0,23.0,0,0,15.0458,2,2
137,1,1,3,19.0,0,2,26.2833,1,7
138,0,1,0,37.0,1,0,53.1,1,2
139,0,3,0,16.0,0,0,9.2167,1,2
140,0,1,0,24.0,0,0,79.2,2,9
141,0,3,3,30.0,0,2,15.2458,2,2
142,1,3,3,22.0,0,0,7.75,1,2
143,1,3,3,24.0,1,0,15.85,1,2
144,0,3,0,19.0,0,0,6.75,4,2
145,0,2,0,18.0,0,0,11.5,1,2
146,0,2,0,19.0,1,1,36.75,1,2
147,1,3,0,27.0,0,0,7.7958,1,2
148,0,3,3,9.0,2,2,34.375,1,2
149,0,2,0,36.0,0,2,26.0,1,10
150,0,2,0,42.0,0,0,13.0,1,2
151,0,2,0,51.0,0,0,12.525,1,2
152,1,1,3,22.0,1,0,66.6,1,2
153,0,3,0,56.0,0,0,8.05,1,2
154,0,3,0,40.0,0,2,14.5,1,2
155,0,3,0,30.0,0,0,7.3125,1,2
156,0,1,0,51.0,0,1,61.3792,2,2
157,1,3,3,16.0,0,0,7.7333,4,2
158,0,3,0,30.0,0,0,8.05,1,2
159,0,3,0,30.0,0,0,8.6625,1,2
160,0,3,0,30.0,8,2,69.55,1,2
161,0,3,0,44.0,0,1,16.1,1,2
162,1,2,3,40.0,0,0,15.75,1,2
163,0,3,0,26.0,0,0,7.775,1,2
164,0,3,0,17.0,0,0,8.6625,1,2
165,0,3,0,1.0,4,1,39.6875,1,2
166,1,3,0,9.0,0,2,20.525,1,2
167,1,1,3,30.0,0,1,55.0,1,5
168,0,3,3,45.0,1,4,27.9,1,2
169,0,1,0,30.0,0,0,25.925,1,2
170,0,3,0,28.0,0,0,56.4958,1,2
171,0,1,0,61.0,0,0,33.5,1,9
172,0,3,0,4.0,4,1,29.125,4,2
173,1,3,3,1.0,1,1,11.1333,1,2
174,0,3,0,21.0,0,0,7.925,1,2
175,0,1,0,56.0,0,0,30.6958,2,8
176,0,3,0,18.0,1,1,7.8542,1,2
177,0,3,0,30.0,3,1,25.4667,1,2
178,0,1,3,50.0,0,0,28.7125,2,2
179,0,2,0,30.0,0,0,13.0,1,2
180,0,3,0,36.0,0,0,0.0,1,2
181,0,3,3,30.0,8,2,69.55,1,2
182,0,2,0,30.0,0,0,15.05,2,2
183,0,3,0,9.0,4,2,31.3875,1,2
184,1,2,0,1.0,2,1,39.0,1,10
185,1,3,3,4.0,0,2,22.025,1,2
186,0,1,0,30.0,0,0,50.0,1,8
187,1,3,3,30.0,1,0,15.5,4,2
188,1,1,0,45.0,0,0,26.55,1,2
189,0,3,0,40.0,1,1,15.5,4,2
190,0,3,0,36.0,0,0,7.8958,1,2
191,1,2,3,32.0,0,0,13.0,1,2
192,0,2,0,19.0,0,0,13.0,1,2
193,1,3,3,19.0,1,0,7.8542,1,2
194,1,2,0,3.0,1,1,26.0,1,10
195,1,1,3,44.0,0,0,27.7208,2,9
196,1,1,3,58.0,0,0,146.5208,2,9
197,0,3,0,30.0,0,0,7.75,4,2
198,0,3,0,42.0,0,1,8.4042,1,2
199,1,3,3,30.0,0,0,7.75,4,2
200,0,2,3,24.0,0,0,13.0,1,2
201,0,3,0,28.0,0,0,9.5,1,2
202,0,3,0,30.0,8,2,69.55,1,2
203,0,3,0,34.0,0,0,6.4958,1,2
204,0,3,0,46.0,0,0,7.225,2,2
205,1,3,0,18.0,0,0,8.05,1,2
206,0,3,3,2.0,0,1,10.4625,1,6
207,0,3,0,32.0,1,0,15.85,1,2
